college_name,state,cost_of_attendance,out_of_state_tuition_premium,tuition_free_threshold,average_aid_percentage,endowment_size,requires_css_profile,net_price_0_30k,net_price_30k_48k,net_price_48k_75k,net_price_75k_110k,net_price_110k_plus
Campbellsville University,KY,42603,0,0,,,True,17880.0,17936.0,18476.0,19291.0,23105.0
Canisius University,NY,44322,0,0,,,True,12781.0,12404.0,16151.0,21341.0,24170.0
Capella University,MN,22820,0,0,,,True,17485.0,17324.0,17490.0,21292.0,22820.0
Capital University,OH,57130,0,0,,,True,19062.0,18574.0,20331.0,23348.0,27299.0
Capitol Technology University,MD,42471,0,0,,,True,19682.0,17134.0,15161.0,27961.0,25778.0
Carleton College,MN,84893,0,0,,,True,7881.0,8203.0,9680.0,18485.0,44082.0
Carlow University,PA,49327,0,0,,,True,17901.0,15748.0,19517.0,21601.0,25214.0
Carnegie Mellon University,PA,83654,0,0,,,True,9097.0,6994.0,14468.0,24865.0,51480.0
Carolina Christian College,NC,28817,0,0,,,True,,21780.0,,28817.0,
Carolina University,NC,32680,0,0,,,True,17738.0,17560.0,22993.0,23597.0,24152.0
Carroll College,MT,55626,0,0,,,True,17072.0,16329.0,19139.0,23919.0,28005.0
Carroll University,WI,52639,0,0,,,True,15718.0,16875.0,14134.0,15730.0,14891.0
Carson-Newman University,TN,49024,0,0,,,True,16672.0,16446.0,17313.0,21209.0,28621.0
Carthage College,WI,50822,0,0,,,True,23293.0,23630.0,22427.0,24995.0,29176.0
Case Western Reserve University,OH,85851,0,0,,,True,19025.0,18506.0,20849.0,26159.0,53061.0
Catawba College,NC,49516,0,0,,,True,13618.0,17495.0,15412.0,17440.0,24420.0
Catholic International University,WV,21546,0,0,,,True,14775.0,,13578.0,,
Cedar Crest College,PA,57206,0,0,,,True,21044.0,24250.0,21490.0,19909.0,11008.0
Cedarville University,OH,49320,0,0,,,True,18987.0,17762.0,19743.0,23426.0,28127.0
Centenary College of Louisiana,LA,60620,0,0,,,True,19493.0,19831.0,20942.0,25412.0,29862.0
Centenary University,NJ,52362,0,0,,,True,13329.0,16047.0,21277.0,23306.0,28735.0
Central Baptist College,AR,30605,0,0,,,True,11750.0,12659.0,12067.0,14382.0,11408.0
Central Christian College of Kansas,KS,33327,0,0,,,True,11689.0,5816.0,10941.0,17373.0,15113.0
Central Christian College of the Bible,MO,24748,0,0,,,True,10548.0,14075.0,,16360.0,16886.0
Central College,IA,37773,0,0,,,True,16231.0,16237.0,19532.0,21936.0,27165.0
Central Connecticut State University,CT,24870,3500,0,,,False,13589.0,13636.0,15091.0,18336.0,21562.0
Central Methodist University-College of Liberal Arts and Sciences,MO,43635,0,0,,,True,20260.0,18894.0,20680.0,23883.0,27411.0
Central Michigan University,MI,30681,0,0,,,False,12185.0,12139.0,13601.0,16269.0,21403.0
Central State University,OH,21929,2000,0,,,False,19581.0,7161.0,8773.0,10343.0,10187.0
Central Washington University,WA,28816,18109,0,,,False,11846.0,13942.0,16022.0,21682.0,26719.0
Central Yeshiva Tomchei Tmimim Lubavitz,NY,29697,0,0,,,True,20648.0,21223.0,21604.0,23027.0,24662.0
Centre College,KY,67787,0,0,,,True,11364.0,10388.0,15847.0,18920.0,30571.0
Chadron State College,NE,21132,0,0,,,False,10047.0,10090.0,12561.0,14674.0,16047.0
Chamberlain University-Arizona,AZ,45594,0,0,,,True,,36199.0,,,43994.0
Chamberlain University-California,CA,37232,0,0,,,True,35887.0,,,,37232.0
Chamberlain University-Florida,FL,37182,0,0,,,True,27474.0,32827.0,27717.0,37182.0,
Chamberlain University-Georgia,GA,38272,0,0,,,True,32321.0,28777.0,32638.0,38272.0,38272.0
Chamberlain University-Illinois,IL,40826,0,0,,,True,30013.0,30090.0,34050.0,32607.0,40826.0
Chamberlain University-Louisiana,LA,38480,0,0,,,True,29210.0,32900.0,,,
Chamberlain University-Michigan,MI,33910,0,0,,,True,27832.0,28665.0,28065.0,,
Chamberlain University-Missouri,MO,38999,0,0,,,True,28131.0,27604.0,,38999.0,
Chamberlain University-Nevada,NV,33051,0,0,,,True,25080.0,,,,33051.0
Chamberlain University-New Jersey,NJ,38904,0,0,,,True,38904.0,,,,37754.0
Chamberlain University-North Carolina,NC,42634,0,0,,,True,34239.0,,42634.0,,
Chamberlain University-Ohio,OH,42634,0,0,,,True,30389.0,,32700.0,,
Chamberlain University-Texas,TX,38480,0,0,,,True,29084.0,32124.0,33827.0,35765.0,36613.0
Chaminade University of Honolulu,HI,45798,0,0,,,True,31589.0,21591.0,25597.0,28054.0,29306.0
Champion Christian College,AR,20970,0,0,,,True,14499.0,18140.0,14956.0,19770.0,19762.0
Champlain College,VT,65009,0,0,,,True,28885.0,26034.0,34164.0,33857.0,41438.0
Chapman University,CA,83146,0,0,,,True,33559.0,33978.0,33709.0,40011.0,55066.0
Charles R Drew University of Medicine and Science,CA,39834,0,0,,,True,35636.0,35686.0,,33075.0,37834.0
Charleston Southern University,SC,44558,0,0,,,True,20145.0,23024.0,20697.0,21648.0,23226.0
Chatham University,PA,61261,0,0,,,True,22675.0,24086.0,26051.0,30120.0,33636.0
Chestnut Hill College,PA,58168,0,0,,,True,28011.0,24447.0,22714.0,28168.0,33175.0
Cheyney University of Pennsylvania,PA,26782,7966,0,,,False,13585.0,12358.0,14773.0,20215.0,16493.0
Chicago State University,IL,29764,0,0,,,False,9073.0,9550.0,11334.0,13899.0,28427.0
Chowan University,NC,39027,0,0,,,True,13726.0,10950.0,14549.0,14565.0,19713.0
Christian Brothers University,TN,48038,0,0,,,True,9466.0,11657.0,10023.0,12839.0,5843.0
Christopher Newport University,VA,33766,14350,0,,,False,12461.0,12752.0,14163.0,22776.0,30584.0
Citadel Military College of South Carolina,SC,33880,25938,0,,,False,15430.0,16456.0,18140.0,20620.0,24047.0
Claflin University,SC,33530,0,0,,,True,16354.0,21118.0,22279.0,23502.0,25071.0
